Year,costCenter_Code,costCenter_Code_MDA,table_identifier,table_identifier_MDA,total_allocation
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009019,FOREIGN MISSION: BRASILIA,704661260
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009020,FOREIGN MISSION: BRAZAVILLE,481889839
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009021,FOREIGN MISSION: BRUSSELS,709549406
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009022,FOREIGN MISSION: BUCHAREST,665944697
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009023,FOREIGN MISSION: BUDAPEST,487165635
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009024,FOREIGN MISSION: BUEA,344196308
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009025,FOREIGN MISSION: BUENOS AIRES,547975403
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009026,FOREIGN MISSION: BUJUMBURA,352086132
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009027,FOREIGN MISSION: CAIRO,375510715
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009028,FOREIGN MISSION: CANBERRA,461395690
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009029,FOREIGN MISSION: CARACAS,400452068
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009030,FOREIGN MISSION: CONAKRY,359129148
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009031,FOREIGN MISSION: COTONOU,343590811
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009032,FOREIGN MISSION: DAKAR,353929301
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009033,FOREIGN MISSION: DAMASCUS,331501680
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009034,FOREIGN MISSION: DAR-ES-SALAAM,451289605
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009035,FOREIGN MISSION: DOUALA,307962501
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009036,FOREIGN MISSION: DUBAI TRADE MISSIONS,370890785
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009037,FOREIGN MISSION: DUBLIN,461013295
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009038,FOREIGN MISSION: FREETOWN,388323632
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009039,FOREIGN MISSION: GABORONE,395417339
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009040,FOREIGN MISSION: GENEVA,771706781
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009042,FOREIGN MISSION: HANOI,392032425
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009043,FOREIGN MISSION: HARARE,413686820
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009044,FOREIGN MISSION: HAVANA,421126851
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009045,FOREIGN MISSION: HONGKONG,594042346
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009046,FOREIGN MISSION: ISLAMABAD,310058203
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009047,FOREIGN MISSION: JAKARTA,355681976
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009048,FOREIGN MISSION: JEDDAH,420114327
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009049,FOREIGN MISSION: JOHANNESBURG,375457813
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009050,FOREIGN MISSION: KAMPALA,407401987
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009051,FOREIGN MISSION: KHARTOUM,352429169
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009052,FOREIGN MISSION: KIEV,600681961
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009053,FOREIGN MISSION: KIGALI RWANDA,409435769
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009054,FOREIGN MISSION: KINGSTON,368537978
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009055,FOREIGN MISSION: KINSHASA,463719925
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009056,FOREIGN MISSION: KUALA LUMPUR,364846240
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009057,FOREIGN MISSION: KUWAIT,293292946
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009058,FOREIGN MISSION: LIBREVILLE,500435428
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009059,FOREIGN MISSION: LISBON,361453262
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009060,FOREIGN MISSION: LOME,372246290
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009061,FOREIGN MISSION: LONDON,1442294423
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009062,FOREIGN MISSION: LUANDA,330778876
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009063,FOREIGN MISSION: LUSAKA,350843597
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009064,FOREIGN MISSION: MADRID,685576714
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009065,FOREIGN MISSION: MALABO,415216548
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009066,FOREIGN MISSION: MANILLA,301505214
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009067,FOREIGN MISSION: MAPUTO,367901620
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009068,FOREIGN MISSION: MEXICO CITY,372897812
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009069,FOREIGN MISSION: MONROVIA,343384627
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009070,FOREIGN MISSION: MOSCOW,588017130
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009071,FOREIGN MISSION: NAIROBI,421495932
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009072,FOREIGN MISSION: N'DJAMENA,506985788
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009074,FOREIGN MISSION: NEW DELHI,399363920
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009075,FOREIGN MISSION: NEW YORK (CG),984665586
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009076,FOREIGN MISSION: NEW YORK (PM),1911652523
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009077,FOREIGN MISSION: NIAMEY,340596277
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009078,FOREIGN MISSION: NNJC - NIAMEY,343018721
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009080,FOREIGN MISSION: OTTAWA,883267055
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009081,FOREIGN MISSION: OUAGADOUGOU,337863333
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009082,FOREIGN MISSION: PARIS,701086227
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009083,FOREIGN MISSION: PORT OF SPAIN,374679092
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009084,FOREIGN MISSION: PRETORIA,404256403
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009085,FOREIGN MISSION: PYONG YANG,345985897
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009086,FOREIGN MISSION: RABAT,420080081
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009087,FOREIGN MISSION: RIYADH,426470269
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009088,FOREIGN MISSION: ROME,601541692
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009091,FOREIGN MISSION: SAO TOME,605569502
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009092,FOREIGN MISSION: SEOUL,493431846
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009093,FOREIGN MISSION: SHANGHAI,455989167
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009094,FOREIGN MISSION: SINGAPORE,613533689
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009095,FOREIGN MISSION: STOCKHOLM,446715643
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009096,FOREIGN MISSION: TEHRAN,475492275
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009097,FOREIGN MISSION: TEL AVIV,484245189
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009099,FOREIGN MISSION: THE HAGUE,632555896
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009100,FOREIGN MISSION: TOKYO,665157035
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009101,FOREIGN MISSION: TRIPOLI,366785438
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009102,FOREIGN MISSION: TUNIS,442120687
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009103,FOREIGN MISSION: VIENNA,598275605
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009104,FOREIGN MISSION: WARSAW,434094910
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009105,FOREIGN MISSION: WASHINGTON,1121378247
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009106,FOREIGN MISSION: WINDHOEK,454643317
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009107,FOREIGN MISSION: YAOUNDE,379084349
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009109,"FOREIGN MISSION, JUBA, SOUTH SUDAN",586259010
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009110,"FOREIGN MISSIONS, ABU DHAB",593443199
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009111,"FOREIGN MISSION LILONGWE, MALAWI",339948103
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009115,"FOREIGN MISSION PRAQUE, CZECH REPUBLIC",519078037
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009116,FOREIGN MISSION VATICAN,393461085
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009118,"CONSOLATE GENERAL FRANKFURT, GERMANY",689340263
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009120,"FOREIGN MISSION DOHA, QATAR",349143530
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009122,"PERMANENT REPRESENTATION, ECOWAS, ABUJA",288141808
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009123,"FOREIGN MISSION AMMAN, JORDAN",473863560
2018,0119,MINISTRY OF FOREIGN AFFAIRS,0119009124,"FOREIGN MISSION GUANGZHOU, CHINA",605698358
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123001001,FEDERAL MINISTRY OF INFORMATION & CULTURE - HQTRS,6668005646
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123003001,NIGERIAN TELEVISION AUTHORITY,6900986948
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123004001,FEDERAL RADIO CORPORATION OF NIGERIA,8078355273
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123005001,NEWS AGENCY OF NIGERIA,1622504302
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123006001,VOICE OF NIGERIA,3154580537
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123007001,NIGERIAN FILM CORPORATION,1051801387
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123008001,NATIONAL BROADCASTING COMMISION,881127455
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123009001,NIGERIA PRESS COUNCIL,390105947
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123010001,NATIONAL FILM AND VEDIO CENSOR BOARD,962972371
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123011001,ADVERTISING PRACTIONERS OF NIGERIA,224630212
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031002,NIGERIAN TOURISM DEVELOPMENT CORPORATION,1377082116
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031003,NATIONAL COMMISSION FOR MUSEUMS AND MONUMENTS,3982124235
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031004,NATIONAL COUNCIL OF ARTS AND CULTURE,1813061453
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031005,CENTRE FOR BLACK AFRICAN ARTS AND CIVILISATION,607721288
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031006,NATIONAL TROUPE OF NIGERIA,338035336
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031007,NATIONAL THEATRE,703796416
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031008,NATIONAL GALLERY OF ART,2272158288
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031009,NATIONAL WAR MUSEUM - UMUAHIA,104364798
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031010,NATIONAL INSTITUTE OF HOSPITALITY AND TOURISM DEVELOPMENT STUDIES,1727262450
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031011,NATIONAL INSTITUTE FOR CULTURE ORIENTATION,1894885207
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031012,"INSTITUTE OF ARCHEOLOGY AND MUSEUM STUDIES, JOS",155469297
2018,0123,FEDERAL MINISTRY OF INFORMATION & CULTURE,0123031017,NATIONAL ORIENTATION AGENCY,6566689039
2018,0124,MINISTRY OF INTERIOR,0124001001,MINISTRY OF INTERIOR - HQTRS,4528812240
2018,0124,MINISTRY OF INTERIOR,0124002001,NIGERIAN PRISON SERVICE,84366014961
2018,0124,MINISTRY OF INTERIOR,0124003001,NIGERIA IMMIGRATION SERVICE,59236859648
2018,0124,MINISTRY OF INTERIOR,0124004001,NIGERIA SECURITY AND CIVIL DEFENCE CORPS,79260507756
2018,0124,MINISTRY OF INTERIOR,0124005001,"CIVIL DEFENCE, IMMIGRATION AND PRISON SERVICE BOARD (CIPB)",979516483
2018,0124,MINISTRY OF INTERIOR,0124007001,FEDERAL FIRE SERVICE,9736066044
2018,0124,MINISTRY OF INTERIOR,0124011002,"NIGERIA POLICE ACADEMY WUDIL, KANO",3815850416
2018,0124,MINISTRY OF INTERIOR,0124012001,POLICE FORMATION & COMMAND HQTRS,332210893212
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125001001,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION - HQTRS,5959162975
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125002001,FEDERAL GOVT STAFF HOUSING LOANS BOARD,360800766
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125003001,ADMINISTRATIVE STAFF COLLEGE OF NIGERIA,1350856030
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125004001,WEST AFRICAN MGT. DEVT. INSTITUTES NETWORK,33034334
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125005002,"FEDERAL TRAINING CENTRE,ENUGU",105356171
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125005003,"FEDERAL TRAINING CENTRE,ILORIN",112778321
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125005004,"FEDERAL TRAINING CENTRE,KADUNA",107353516
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125005005,"FEDERAL TRAINING CENTRE,LAGOS",134578465
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125005006,"FEDERAL TRAINING CENTRE,MAIDUGURI",94105340
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125005007,"FEDERAL TRAINING CENTRE,CALABAR",168072923
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125006001,PUBLIC SERVICE INSTITUTE OF NIGERIA.,881022842
2018,0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,0125008001,BUREAU OF PUBLIC SERVICE REFORMS,450725723
2018,0140,AUDITOR GENERAL FOR THE FEDERATION,0140001001,AUDITOR GENERAL FOR THE FEDERATION,3222415524
2018,0145,PUBLIC COMPLAINTS COMMISSION,0145001001,PUBLIC COMPLAINTS COMMISSION,4200000000
2018,0147,FEDERAL CIVIL SERVICE COMMISSION,0147001001,FEDERAL CIVIL SERVICE COMMISSION,1092172286
2018,0148,INDEPENDENT NATIONAL ELECTORAL COMMISSION,0148001001,INDEPENDENT NATIONAL ELECTORAL COMMISSION,45500000000
2018,0149,FEDERAL CHARACTER COMMISSION,0149001001,FEDERAL CHARACTER COMMISSION,3087256556
2018,0156,MINISTRY OF COMMUNICATION TECHNOLOGY,0156001001,MINISTRY OF COMMUNICATION TECHNOLOGY HQTRS,6943840661
2018,0156,MINISTRY OF COMMUNICATION TECHNOLOGY,0156003001,NIGERIA COMMUNICATION SATELLITE,4169826133
2018,0156,MINISTRY OF COMMUNICATION TECHNOLOGY,0156006001,NIPOST,8147073843
2018,0157,NATIONAL SECURITY ADVISER,0157001001,NATIONAL SECURITY ADVISER,34817339426
2018,0157,NATIONAL SECURITY ADVISER,0157002001,DIRECTORATE OF STATE SECURITY SERVICE,41678570113
2018,0157,NATIONAL SECURITY ADVISER,0157003001,NATIONAL INTELLIGENCE AGENCY,37974625342
2018,0157,NATIONAL SECURITY ADVISER,0157004001,PRESIDENTIAL AIR FLEETS (STATE HOUSE),7260408803
2018,0158,CODE OF CONDUCT TRIBUNAL,0158001001,CODE OF CONDUCT TRIBUNAL,1197770841
2018,0159,INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,0159001001,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION,1542198903
2018,0160,POLICE SERVICE COMMISSION,0160001001,POLICE SERVICE COMMISSION HQTRS,1472026629
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161001001,SECRETARY TO THE GOVERNMENT OF THE FEDERATION HQTRS,9812003958
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161001003,SPECIAL DUITIES SGF,408228180
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161003001,NATIONAL COMMISSION FOR REFUGEES,4410964522
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161004001,LAGOS LIAISON OFFICE,470667538
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,6683455899
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161006001,NATIONAL MERIT AWARD,278244781
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161007001,FEDERAL ROAD SAFETY COMMISSION,42068867584
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161008001,PRESIDENTIAL ADVISORY COMMITTEE,8059340
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161009001,NEW PARTNERSHIP FOR AFRICAN DEVELOPMENT,678646955
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161012001,NATIONAL ACTION COMMITTEE ON AIDS (NACA),4268224497
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161013001,NATIONAL PENSION COMMISSION,849923347
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161014001,NATIONAL HAJJ COMMISSION OF NIGERIA,1589109215
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161015001,NIGERIA CHRISTIAN PILGRIM COMMISSION,1397058400
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161016001,NATIONAL LOTTERY TRUST FUND,789828054
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161017001,NATIONAL LOTTERY REGULATORY COMMISSION (NLRC),2730319135
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161018001,SERVICOM,127350178
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161019001,PRESIDENTIAL TECHNICAL COMMITTEE ON LAND REFORMS,342118657
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161021001,NATIONAL BOUNDARY COMMISSION (NBC) HQTRS,931682190
2018,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161022001,BORDER COMMUNITIES DEVELOPMENT AGENCY (BCDA) HQTRS,4032301380
2018,0215,FEDERAL MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT,0215001001,FEDERAL MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT HQTRS,91113285396
2018,0215,FEDERAL MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT,0215002001,"FEDERAL COLLEGE OF PRODUCE INSPECTION AND STORED PRODUCTS TECHNOLOGY, KANO",502008393
2018,0215,FEDERAL MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT,0215003001,AGRICULTURAL RESEARCH AND MANAGEMENT INSTITUTE (ARMTI) - ILORIN,1384924201
2018,0215,FEDERAL MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT,0215004001,NATIONAL CENTRE FOR AGRICULTURAL MECHANISATION- ILORIN,1990830350
